city,latitude,longitude,attacks
Albania,41.409566,19.40355,10
Albania,41.719986,19.540027,10
Albania,41.877548,19.371769,10
Albania,42.195745,19.304486,10
Albania,42.688247,19.738051,10
Albania,42.500093,19.801613,10
Albania,42.58863,20.0707,10
Albania,42.32026,20.283755,10
Albania,42.21787,20.52295,10
Albania,41.855404,20.590247,10
United Arab Emirates,24.245497,51.579519,10
United Arab Emirates,24.294073,51.757441,10
United Arab Emirates,24.019826,51.794389,10
United Arab Emirates,24.177439,52.577081,10
United Arab Emirates,24.151317,53.404007,10
United Arab Emirates,24.121758,54.008001,10
United Arab Emirates,24.797892,54.693024,10
United Arab Emirates,25.439145,55.439025,10
United Arab Emirates,26.055464,56.070821,10
United Arab Emirates,25.714606,56.261042,10
United Arab Emirates,24.924732,56.396847,10
United Arab Emirates,24.920831,55.886233,10
United Arab Emirates,24.269604,55.804119,10
United Arab Emirates,24.130543,55.981214,10
United Arab Emirates,23.933604,55.528632,10
United Arab Emirates,23.524869,55.525841,10
United Arab Emirates,23.110993,55.234489,10
United Arab Emirates,22.70833,55.208341,10
United Arab Emirates,22.496948,55.006803,10
United Arab Emirates,23.001154,52.000733,10
United Arab Emirates,24.014219,51.617708,10
United Arab Emirates,24.245497,51.579519,10
Argentina,-55.2,-65.5,10
Argentina,-55.25,-66.45,10
Argentina,-54.89681,-66.95992,10
Argentina,-54.87001,-67.56244,10
Argentina,-54.8695,-68.63335,10
Argentina,-52.63637,-68.63401,10
Argentina,-53.1,-68.25,10
Argentina,-53.85,-67.75,10
Argentina,-54.45,-66.45,10
Argentina,-54.7,-65.05,10
Argentina,-55.2,-65.5,10
Argentina,-22.075862,-64.964892,10
Argentina,-22.798091,-64.377021,10
Argentina,-21.993644,-63.986838,10
Argentina,-22.034985,-62.846468,10
Argentina,-22.249029,-62.685057,10
Argentina,-23.880713,-60.846565,10
Argentina,-24.032796,-60.028966,10
Argentina,-24.771459,-58.807128,10
Argentina,-25.16234,-57.777217,10
Argentina,-25.603657,-57.63366,10
Argentina,-27.123719,-58.618174,10
Argentina,-27.395899,-57.60976,10
Argentina,-27.548499,-56.486702,10
Argentina,-27.387837,-55.695846,10
Argentina,-26.621786,-54.788795,10
Argentina,-25.739255,-54.625291,10
Argentina,-25.547639,-54.13005,10
Argentina,-26.124865,-53.628349,10
Argentina,-26.923473,-53.648735,10
Argentina,-27.474757,-54.490725,10
Argentina,-27.881915,-55.162286,10
Argentina,-28.852761,-56.2909,10
Argentina,-30.216295,-57.625133,10
Argentina,-31.016556,-57.874937,10
Argentina,-32.044504,-58.14244,10
Argentina,-33.040567,-58.132648,10
Argentina,-33.263189,-58.349611,10
Argentina,-33.909454,-58.427074,10
Argentina,-34.43149,-58.495442,10
Argentina,-35.288027,-57.22583,10
Argentina,-35.97739,-57.362359,10
Argentina,-36.413126,-56.737487,10
Argentina,-36.901572,-56.788285,10
Argentina,-38.183871,-57.749157,10
Argentina,-38.72022,-59.231857,10
Argentina,-38.928425,-61.237445,10
Argentina,-38.827707,-62.335957,10
Argentina,-39.424105,-62.125763,10
Argentina,-40.172586,-62.330531,10
Argentina,-40.676897,-62.145994,10
Argentina,-41.028761,-62.745803,10
Argentina,-41.166789,-63.770495,10
Argentina,-40.802677,-64.73209,10
Argentina,-41.064315,-65.118035,10
Argentina,-42.058001,-64.978561,10
Argentina,-42.359016,-64.303408,10
Argentina,-42.043687,-63.755948,10
Argentina,-42.563138,-63.458059,10
Argentina,-42.873558,-64.378804,10
Argentina,-43.495381,-65.181804,10
Argentina,-44.501366,-65.328823,10
Argentina,-45.036786,-65.565269,10
Argentina,-45.039628,-66.509966,10
Argentina,-45.551896,-67.293794,10
Argentina,-46.301773,-67.580546,10
Argentina,-47.033925,-66.597066,10
Argentina,-47.236135,-65.641027,10
Argentina,-48.133289,-65.985088,10
Argentina,-48.697337,-67.166179,10
Argentina,-49.869669,-67.816088,10
Argentina,-50.264218,-68.728745,10
Argentina,-50.73251,-69.138539,10
Argentina,-51.771104,-68.815561,10
Argentina,-52.349983,-68.149995,10
Argentina,-52.299444,-68.571545,10
Argentina,-52.142761,-69.498362,10
Argentina,-52.009022,-71.914804,10
Argentina,-51.425956,-72.329404,10
Argentina,-50.67701,-72.309974,10
Argentina,-50.74145,-72.975747,10
Argentina,-50.378785,-73.328051,10
Argentina,-49.318436,-73.415436,10
Argentina,-48.878618,-72.648247,10
Argentina,-48.244238,-72.331161,10
Argentina,-47.738533,-72.447355,10
Argentina,-46.884838,-71.917258,10
Argentina,-45.560733,-71.552009,10
Argentina,-44.973689,-71.659316,10
Argentina,-44.784243,-71.222779,10
Argentina,-44.407522,-71.329801,10
Argentina,-44.207172,-71.793623,10
Argentina,-43.787611,-71.464056,10
Argentina,-43.408565,-71.915424,10
Argentina,-42.254888,-72.148898,10
Argentina,-42.051386,-71.746804,10
Argentina,-40.832339,-71.915734,10
Argentina,-39.808164,-71.680761,10
Argentina,-38.916022,-71.413517,10
Argentina,-38.552995,-70.814664,10
Argentina,-37.576827,-71.118625,10
Argentina,-36.658124,-71.121881,10
Argentina,-36.005089,-70.364769,10
Argentina,-35.169688,-70.388049,10
Argentina,-34.193571,-69.817309,10
Argentina,-33.273886,-69.814777,10
Argentina,-33.09121,-70.074399,10
Argentina,-31.36501,-70.535069,10
Argentina,-30.336339,-69.919008,10
Argentina,-29.367923,-70.01355,10
Argentina,-28.459141,-69.65613,10
Argentina,-27.521214,-69.001235,10
Argentina,-26.89934,-68.295542,10
Argentina,-26.506909,-68.5948,10
Argentina,-26.185016,-68.386001,10
Argentina,-24.518555,-68.417653,10
Argentina,-24.025303,-67.328443,10
Argentina,-22.986349,-66.985234,10
Argentina,-22.735925,-67.106674,10
Argentina,-21.83231,-66.273339,10
Argentina,-22.075862,-64.964892,10
Armenia,41.092143,43.582746,10
Armenia,41.248129,44.97248,10
Armenia,40.985354,45.179496,10
Armenia,40.81229,45.560351,10
Armenia,40.561504,45.359175,10
Armenia,40.218476,45.891907,10
Armenia,39.899994,45.610012,10
Armenia,39.628021,46.034534,10
Armenia,39.464155,46.483499,10
Armenia,38.770605,46.50572,10
Armenia,38.741201,46.143623,10
Armenia,39.319719,45.735379,10
Armenia,39.473999,45.739978,10
Armenia,39.471751,45.298145,10
Armenia,39.740004,45.001987,10
Armenia,39.713003,44.79399,10
Armenia,40.005,44.400009,10
Armenia,40.253564,43.656436,10
Armenia,40.740201,43.752658,10
Armenia,41.092143,43.582746,10
Antarctica,-80.040179,-59.572095,10
Antarctica,-80.549657,-59.865849,10
Antarctica,-81.000327,-60.159656,10
Antarctica,-80.863178,-62.255393,10
Antarctica,-80.921934,-64.488125,10
Antarctica,-80.588827,-65.741666,10
Antarctica,-80.549657,-65.741666,10
Antarctica,-80.255773,-66.290031,10
Antarctica,-80.294944,-64.037688,10
Antarctica,-80.39287,-61.883246,10
Antarctica,-79.981371,-61.138976,10
Antarctica,-79.628679,-60.610119,10
Antarctica,-80.040179,-59.572095,10
Antarctica,-79.497059,-159.208184,10
